Website, Headline, Link
BBC World News,Fifteen countries sign world's biggest trade deal,=HYPERLINK("https://www.bbc.com/news/world-asia-54949260")
BBC World News,Peru's new president resigns after protest deaths,=HYPERLINK("https://www.bbc.com/news/world-latin-america-54953546")
BBC World News,Trump says Biden won but again refuses to concede,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54952098")
BBC World News,Millionaire preacher flees S Africa before trial,=HYPERLINK("https://www.bbc.com/news/world-africa-54949819")
BBC World News,Racing pigeon sold for record €1.6m,=HYPERLINK("https://www.bbc.com/news/world-europe-54953594")
BBC World News,Charles speaks of 'bond' between UK and Germany,=HYPERLINK("https://www.bbc.com/news/uk-54945343")
BBC World News,Astronauts primed for weather-delayed SpaceX flight,=HYPERLINK("https://www.bbc.com/news/science-environment-54938444")
BBC World News,Peru's new president resigns after protest deaths,=HYPERLINK("https://www.bbc.com/news/world-latin-america-54953546")
BBC World News,Trump says Biden won but again refuses to concede,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54952098")
BBC World News,Millionaire preacher flees S Africa before trial,=HYPERLINK("https://www.bbc.com/news/world-africa-54949819")
BBC World News,Racing pigeon sold for record €1.6m,=HYPERLINK("https://www.bbc.com/news/world-europe-54953594")
BBC World News,Charles speaks of 'bond' between UK and Germany,=HYPERLINK("https://www.bbc.com/news/uk-54945343")
BBC World News,Astronauts primed for weather-delayed SpaceX flight,=HYPERLINK("https://www.bbc.com/news/science-environment-54938444")
BBC World News,Ethiopia conflict spreading as rockets hit Eritrea,=HYPERLINK("https://www.bbc.com/news/world-africa-54942546")
BBC World News,India acting legend Soumitra Chatterjee dies,=HYPERLINK("https://www.bbc.com/news/world-asia-india-54500364")
BBC World News,Iota nears hurricane-battered Central America,=HYPERLINK("https://www.bbc.com/news/world-latin-america-54941826")
BBC World News,(Video)  6 minutes 17 seconds'We’ve lost an entire generation',=HYPERLINK("https://www.bbc.com/news/world-europe-54942864")
BBC World News,Storm hits Vietnam as Philippines seeks survivors,=HYPERLINK("https://www.bbc.com/news/world-asia-54942843")
BBC World News,France's rural idyll threatened by Covid lockdown,=HYPERLINK("https://www.bbc.com/news/world-europe-54890230")
BBC World News,In pictures: Diwali celebrations around the world,=HYPERLINK("https://www.bbc.com/news/world-asia-54944963")
BBC World News,Culture clash over Nigeria's rival alphabets,=HYPERLINK("https://www.bbc.com/news/world-africa-54935804")
BBC World News,(Video)  3 minutes 2 secondsThe secret relationship destroyed by war,=HYPERLINK("https://www.bbc.com/news/world-europe-54923014")
BBC World News,The 'dead voters' who are still alive,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54874120")
BBC World News,(Video)  1 minute 15 secondsCovid-19 vaccine: 'We could have a normal winter next year',=HYPERLINK("https://www.bbc.com/news/health-54950272")
BBC World News,(Video)  47 secondsFrom a jaguar to 'Harry Potter' wheeled broomsticks,=HYPERLINK("https://www.bbc.com/news/world-54936467")
BBC World News,(Video)  3 minutes 17 secondsWhat do Trump supporters think of a Biden presidency?,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54922927")
BBC World News,(Video)  53 secondsGermany and UK 'a force for good' together,=HYPERLINK("https://www.bbc.com/news/world-europe-54950277")
BBC World News,(Video)  1 minute 4 seconds'We fled from death and murder',=HYPERLINK("https://www.bbc.com/news/world-africa-54944698")
Reutuers,Trump concedes 'nothing' on election; Biden team to meet vaccine makers,=HYPERLINK("https://www.reuters.com/article/uk-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUKKBN27V050?il=0")
Reutuers,France records 27|228 new COVID-19 cases| 302 more deaths,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-france/france-records-27228-new-covid-19-cases-302-more-deaths-idUKKBN27V0MT?il=0")
Reutuers,Pro-EU candidate Sandu leads in Moldova presidential election run-off - exit poll,=HYPERLINK("https://www.reuters.com/article/uk-moldova-election-exitpolls/pro-eu-candidate-sandu-leads-in-moldova-presidential-election-run-off-exit-poll-idUKKBN27V0NW?il=0")
Reutuers,Bulgaria says to block EU accession talks with North Macedonia,=HYPERLINK("https://www.reuters.com/article/uk-bulgaria-north-macedonia-eu/bulgaria-says-to-block-eu-accession-talks-with-north-macedonia-idUKKBN27V0NS?il=0")
Reutuers,Italy's Nexi clinches all-share merger with Nordic rival Nets,=HYPERLINK("https://www.reuters.com/article/uk-nets-nexi-m-a/italys-nexi-clinches-all-share-merger-with-nordic-rival-nets-idUKKBN27V0N3?il=0")
Reutuers,Pro-Sisi party in commanding position in Egypt's parliamentary polls,=HYPERLINK("https://www.reuters.com/article/uk-egypt-election/pro-sisi-party-in-commanding-position-in-egypts-parliamentary-polls-idUKKBN27V0ML?il=0")
Reutuers,ESwatini's prime minister tests positive for COVID-19,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-eswatini/eswatinis-prime-minister-tests-positive-for-covid-19-idUKKBN27V0M7?il=0")
Reutuers,Peru interim president quits after ultimatum from Congress| protest deaths,=HYPERLINK("https://www.reuters.com/article/uk-peru-politics/peru-interim-president-quits-after-ultimatum-from-congress-protest-deaths-idUKKBN27V042?il=0")
Reutuers,Peru's interim president Manuel Merino resigns after protest deaths,=HYPERLINK("https://www.reuters.com/article/uk-peru-politics-merino/perus-interim-president-manuel-merino-resigns-after-protest-deaths-idUKKBN27V0KZ?il=0")
Reutuers,Peru lawmakers ask interim President Merino to resign immediately,=HYPERLINK("https://www.reuters.com/article/uk-peru-politics-lawmakers/peru-lawmakers-ask-interim-president-merino-to-resign-immediately-idUKKBN27V0KV?il=0")
Reutuers,In escalation of Ethiopia war| Tigray leader says his forces fired rockets at Eritrea,=HYPERLINK("https://www.reuters.com/article/uk-ethiopia-conflict/in-escalation-of-ethiopia-war-tigray-leader-says-his-forces-fired-rockets-at-eritrea-idUKKBN27V05K?il=0")
Reutuers,Britain's Arcadia denies administration imminent,=HYPERLINK("https://www.reuters.com/article/uk-arcadia-outlook/britains-arcadia-denies-administration-imminent-idUKKBN27V0LW?il=0")
Reutuers,U.S condemns Tigray forces' attacks on Eritrea,=HYPERLINK("https://www.reuters.com/article/uk-ethiopia-conflict-usa/u-s-condemns-tigray-forces-attacks-on-eritrea-idUKKBN27V0L4?il=0")
Reutuers,Elon Musk says 'most likely' has a moderate case of COVID-19,=HYPERLINK("https://www.reuters.com/article/us-health-coronavirus-musk/elon-musk-says-most-likely-has-a-moderate-case-of-covid-19-idUKKBN27V017?il=0")
Reutuers,French police increase COVID lockdown checks in Paris,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-paris-police/french-police-increase-covid-lockdown-checks-in-paris-idUKKBN27V0DD?il=0")
Reutuers,India to fly in medical staff| ramp up testing amid rising cases in Delhi,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-india/india-to-fly-in-medical-staff-ramp-up-testing-amid-rising-cases-in-delhi-idUKKBN27V0KC?il=0")
Reutuers,Coronavirus emerged in Italy earlier than thought| Italian study shows,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-italy-timing/coronavirus-emerged-in-italy-earlier-than-thought-italian-study-shows-idUKKBN27V0K7?il=0")
Reutuers,Iran's Rouhani calls for national mobilisation against COVID-19 as cases surge,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-iran/irans-rouhani-calls-for-national-mobilisation-against-covid-19-as-cases-surge-idUKKBN27V09V?il=0")
Reutuers,Israel promotes settlement plan for sensitive East Jerusalem area,=HYPERLINK("https://www.reuters.com/article/uk-israel-palestinians-settlement/israel-promotes-settlement-plan-for-sensitive-east-jerusalem-area-idUKKBN27V0E6?il=0")
Reutuers,India denies Pakistan's allegations over funding of militant groups,=HYPERLINK("https://www.reuters.com/article/uk-india-pakistan-militancy/india-denies-pakistans-allegations-over-funding-of-militant-groups-idUKKBN27V0J9?il=0")
Reutuers,UK| Ireland say Brexit talks must have breakthrough,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu/uk-ireland-say-breakthrough-needed-in-brexit-talks-this-week-idUKKBN27V07K")
Reutuers,								Trump concedes 'nothing' on election; Biden team to meet vaccine makers,=HYPERLINK("https://www.reuters.com/article/uk-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUKKBN27V050")
Reutuers,								Hundreds detained as Belarusians chant dead protester's last words,=HYPERLINK("https://www.reuters.com/article/uk-belarus-election-protests/hundreds-detained-as-belarusians-chant-dead-protesters-last-words-idUKKBN27V08S")
Reutuers,								French Catholics hold open air mass to protest against COVID-19 restrictions,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-france-mass/french-catholics-hold-open-air-mass-to-protest-against-covid-19-restrictions-idUKKBN27V0FK")
Reutuers,								Britain's Arcadia denies administration imminent,=HYPERLINK("https://www.reuters.com/article/uk-arcadia-outlook/britains-arcadia-denies-administration-imminent-idUKKBN27V0LW")
Reutuers, 		How food companies prepared for Lockdown 2.0,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/uk-global-retail-consumer-products-focus/lockdown-2-0-food-companies-overhauled-production-to-put-more-toilet-paper-pasta-sauce-in-stores-idUKKBN27T1J2")
Reutuers, 		Belgian racing pigeon flies past record in auction,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/uk-belgium-pigeon/belgian-racing-pigeon-flies-past-record-in-auction-idUKKBN27V0CR")
Reutuers,Thiem edges Tsitsipas in ATP Finals opener,=HYPERLINK("https://www.reuters.com/article/uk-tennis-atpfinals/thiem-edges-tsitsipas-in-atp-finals-opener-idUKKBN27V0LG")
Reutuers,Suzuki's Mir seals MotoGP world title in Valencia,=HYPERLINK("https://www.reuters.com/article/uk-motor-motogp-valencia/suzukis-mir-seals-motogp-world-title-in-valencia-idUKKBN27V0GI")
Reutuers,Former England goalkeeper Clemence dies aged 72,=HYPERLINK("https://www.reuters.com/article/uk-soccer-england-clemence-obit/former-england-goalkeeper-clemence-dies-aged-72-idUKKBN27V0IR")
Reutuers,								Peru interim president quits after ultimatum from Congress| protest deaths,=HYPERLINK("https://www.reuters.com/article/uk-peru-politics/peru-interim-president-quits-after-ultimatum-from-congress-protest-deaths-idUKKBN27V042")
Reutuers,								In escalation of Ethiopia war| Tigray leader says his forces fired rockets at Eritrea,=HYPERLINK("https://www.reuters.com/article/uk-ethiopia-conflict/in-escalation-of-ethiopia-war-tigray-leader-says-his-forces-fired-rockets-at-eritrea-idUKKBN27V05K")
Reutuers,								SpaceX and NASA set for first operational astronaut mission to space,=HYPERLINK("https://www.reuters.com/article/uk-space-exploration-spacex/spacex-and-nasa-set-for-first-operational-astronaut-mission-to-space-idUKKBN27V0IH")
Reutuers,								Israel promotes settlement plan for sensitive East Jerusalem area,=HYPERLINK("https://www.reuters.com/article/uk-israel-palestinians-settlement/israel-promotes-settlement-plan-for-sensitive-east-jerusalem-area-idUKKBN27V0E6")
Reutuers,								India to fly in medical staff| ramp up testing amid rising cases in Delhi,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-india/india-to-fly-in-medical-staff-ramp-up-testing-amid-rising-cases-in-delhi-idUKKBN27V0KC")
Reutuers,								Erdogan visits Northern Cyprus| calls for two-state solution for island,=HYPERLINK("https://www.reuters.com/article/uk-cyprus-turkey/erdogan-visits-northern-cyprus-calls-for-two-state-solution-for-island-idUKKBN27V0B5")
Reutuers,Italy's Nexi clinches all-share merger with Nordic rival Nets,=HYPERLINK("https://www.reuters.com/article/uk-nets-nexi-m-a/italys-nexi-clinches-all-share-merger-with-nordic-rival-nets-idUKKBN27V0N3")
Reutuers,Elon Musk says 'most likely' has a moderate case of COVID-19,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-musk/elon-musk-says-most-likely-has-a-moderate-case-of-covid-19-idUKKBN27V019")
Reutuers,Exclusive: Drugmakers offer Canada C$1 billion to scrap some pending pricing rules,=HYPERLINK("https://www.reuters.com/article/uk-canada-pharmaceuticals-exclusive/exclusive-drugmakers-offer-canada-c1-billion-to-scrap-some-pending-pricing-rules-idUKKBN27V0HI")
Reutuers,Asia forms world's biggest trade bloc| a China-backed group excluding U.S.,=HYPERLINK("https://www.reuters.com/article/us-asean-summit-rcep-signing/asia-forms-worlds-biggest-trade-bloc-a-china-backed-group-excluding-u-s-idUKKBN27V03O")
Reutuers,AllianceBernstein applies to set up China mutual fund unit,=HYPERLINK("https://www.reuters.com/article/us-china-fund-alliancebern/alliancebernstein-applies-to-set-up-china-mutual-fund-unit-idUKKBN27V0FZ")
Reutuers,China's Xi calls for further development of Yangtze economic belt,=HYPERLINK("https://www.reuters.com/article/us-china-politics-yangtze/chinas-xi-calls-for-further-development-of-yangtze-economic-belt-idUKKBN27V0E2")
Reutuers,UK reports 24|962 new COVID cases on Sunday| 168 deaths,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-cases/uk-reports-24962-new-covid-cases-on-sunday-168-deaths-idUKKBN27V0J3")
Reutuers,UK and EU making some progress on post-Brexit trade deal - UK negotiator,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu-frost/uk-and-eu-making-some-progress-on-post-brexit-trade-deal-uk-negotiator-idUKKBN27V0AN")
Reutuers,UK reports 26|860 new COVID cases on Saturday| 462 deaths,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-cases/uk-reports-26860-new-covid-cases-on-saturday-462-deaths-idUKKBN27U0JD")
Reutuers,France records 27|228 new COVID-19 cases| 302 more deaths,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-france/france-records-27228-new-covid-19-cases-302-more-deaths-idUKKBN27V0MT")
Reutuers,Pro-EU candidate Sandu leads in Moldova presidential election run-off - exit poll,=HYPERLINK("https://www.reuters.com/article/uk-moldova-election-exitpolls/pro-eu-candidate-sandu-leads-in-moldova-presidential-election-run-off-exit-poll-idUKKBN27V0NW")
Reutuers,Bulgaria says to block EU accession talks with North Macedonia,=HYPERLINK("https://www.reuters.com/article/uk-bulgaria-north-macedonia-eu/bulgaria-says-to-block-eu-accession-talks-with-north-macedonia-idUKKBN27V0NS")
Reutuers,Elon Musk says 'most likely' has a moderate case of COVID-19,=HYPERLINK("https://www.reuters.com/article/us-health-coronavirus-musk/elon-musk-says-most-likely-has-a-moderate-case-of-covid-19-idUKKBN27V017")
Reutuers,Tech groups' services could face bans if they breach rules| EU industry chief says,=HYPERLINK("https://www.reuters.com/article/us-eu-tech-regulations/tech-groups-services-could-face-bans-if-they-breach-rules-eu-industry-chief-says-idUKKBN27V0A7")
Reutuers,Social media platform Parler gets backing from Mercer family: WSJ,=HYPERLINK("https://www.reuters.com/article/us-parler-funding-mercer/social-media-platform-parler-gets-backing-from-mercer-family-wsj-idUKKBN27V00R")
Reutuers,Hamilton takes seventh title with Turkish triumph,=HYPERLINK("https://www.reuters.com/article/uk-motor-f1-turkey/hamilton-takes-seventh-title-with-turkish-triumph-idUKKBN27V0D3")
Reutuers,Thiem edges Tsitsipas in ATP Finals opener,=HYPERLINK("https://www.reuters.com/article/uk-tennis-atpfinals/thiem-edges-tsitsipas-in-atp-finals-opener-idUKKBN27V0LG")
Reutuers,Suzuki's Mir seals MotoGP world title in Valencia,=HYPERLINK("https://www.reuters.com/article/uk-motor-motogp-valencia/suzukis-mir-seals-motogp-world-title-in-valencia-idUKKBN27V0GI")
The New York Times,Sainted Too Soon? Vatican Report Cast John Paul II in Harsh New Light,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/europe/john-paul-vatican.html")
The New York Times,Her Abuse Was a ‘Family Matter|’ Until It Went Live,=HYPERLINK("https://www.nytimes.com/2020/11/15/world/asia/china-women-domestic-abuse.html")
The New York Times,‘Yogurt Ladies’ of South Korea Deliver More Than Dairy,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/asia/south-korea-yogurt-yakult-ajumma.html")
The New York Times,‘You Cannot Say No’: The Reign of Terror That Sustains Belarus’s Leader,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/europe/belarus-lukashenko-protests-crackdown.html")
The New York Times,Nigeria’s Police Brutality Crisis: What’s Happening Now,=HYPERLINK("https://www.nytimes.com/article/sars-nigeria-police.html")
The New York Times,Rome Tracks Down the Man Behind All That Graffiti. No| It’s Not Banksy.,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/europe/rome-graffiti-geco.html")
The New York Times,It Took a Century to Open a Mosque in Athens. Then Came the Pandemic.,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/europe/athens-mosque-coronavirus.html")
The New York Times,Al Qaeda’s No. 2| Accused in U.S. Embassy Attacks| Was Killed in Iran,=HYPERLINK("https://www.nytimes.com/2020/11/13/world/middleeast/al-masri-abdullah-qaeda-dead.html")
The New York Times,Conflict in Ethiopia’s Tigray Region Widens as Missiles Are Fired at Airports,=HYPERLINK("https://www.nytimes.com/2020/11/14/world/africa/ethiopia-tigray-missiles-airport.html")
