Website, Headline, Link
Reutuers,Trot is hot: It's not just K-pop in South Korea,=HYPERLINK("https://www.reuters.com/article/uk-southkorea-kpop-elderly-trot/trot-is-hot-its-not-just-k-pop-in-south-korea-idUKKBN27T0EX?il=0")
Reutuers,Former China finance minister says trade frictions with U.S. could remain under Biden,=HYPERLINK("https://www.reuters.com/article/uk-usa-trade-china-caixin/former-china-finance-minister-says-trade-frictions-with-u-s-could-remain-under-biden-idUKKBN27T0B1?il=0")
Reutuers,Chicago and Detroit told to hunker down as pandemic surges,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-usa/chicago-and-detroit-told-to-hunker-down-as-pandemic-surges-idUKKBN27S2VD?il=0")
Reutuers,U.S. government appeals order blocking TikTok ban from taking effect,=HYPERLINK("https://www.reuters.com/article/us-usa-tiktok/u-s-government-appeals-order-blocking-tiktok-ban-from-taking-effect-idUKKBN27S370?il=0")
Reutuers,Philippine police say typhoon death toll at 26 as cleanup begins,=HYPERLINK("https://www.reuters.com/article/uk-asia-storm-philippines/philippine-police-say-typhoon-death-toll-at-26-as-cleanup-begins-idUKKBN27T07F?il=0")
Reutuers,Suu Kyi's party wins enough seats to form Myanmar's next government,=HYPERLINK("https://www.reuters.com/article/uk-myanmar-election/suu-kyis-party-wins-enough-seats-to-form-myanmars-next-government-idUKKBN27T0BU?il=0")
Reutuers,Daimler to revamp China plant to make Actros trucks as sales surge,=HYPERLINK("https://www.reuters.com/article/uk-daimler-china/daimler-to-revamp-china-plant-to-make-actros-trucks-as-sales-surge-idUKKBN27T0E8?il=0")
Reutuers,UK reports record daily total of 33|470 COVID-19 cases,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-data/uk-reports-record-daily-total-of-33470-covid-19-cases-idUKKBN27S2IP")
Reutuers,								Biden takes Arizona| cementing presidential win despite Trump's refusal to concede,=HYPERLINK("https://www.reuters.com/article/uk-usa-election/biden-takes-arizona-cementing-presidential-win-despite-trumps-refusal-to-concede-idUKKBN27S0LZ")
Reutuers,								Asian stocks fall as virus spread accelerates,=HYPERLINK("https://www.reuters.com/article/uk-global-markets/asian-stocks-fall-as-virus-spread-accelerates-idUKKBN27T027")
Reutuers,								UK regulators will intervene if full Brexit upends markets| says FCA's Delfas,=HYPERLINK("https://www.reuters.com/article/uk-britain-eu-markets/uk-regulators-will-intervene-if-full-brexit-upends-markets-says-fcas-delfas-idUKKBN27S1XG")
Reutuers,								Johnson's senior adviser Cummings expected to resign by year-end - BBC,=HYPERLINK("https://www.reuters.com/article/uk-britain-politics-cummings/johnsons-senior-adviser-cummings-expected-to-resign-by-year-end-bbc-idUKKBN27T01U")
Reutuers, 		House price growth hits 21-year high - RICS,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/uk-britain-economy-houseprices/uk-house-price-growth-hits-21-year-high-weaker-2021-likely-rics-idUKKBN27S00D")
Reutuers, 		Weak bank CEO benches will be hard to strengthen,=HYPERLINK("https://www.reuters.com//uk.reuters.com/article/us-banks-ceo-breakingviews/breakingviews-weak-bank-ceo-benches-will-be-hard-to-strengthen-idUKKBN27S25P")
Reutuers,England ease to first win over Ireland since 1985,=HYPERLINK("https://www.reuters.com/article/uk-soccer-friendly-eng-irl-report/england-ease-to-first-win-over-ireland-since-1985-idUKKBN27S38P")
Reutuers,Argentina draw 1-1 with Paraguay in World Cup qualifier,=HYPERLINK("https://www.reuters.com/article/uk-soccer-worldcup-arg-pry-report/argentina-draw-1-1-with-paraguay-in-world-cup-qualifier-idUKKBN27T09B")
Reutuers,Rashford and Coady to miss England's Nation League games,=HYPERLINK("https://www.reuters.com/article/uk-soccer-england/rashford-and-coady-to-miss-englands-nation-league-games-idUKKBN27S3DR")
Reutuers,								Tesco fast tracks emissions target with solar push,=HYPERLINK("https://www.reuters.com/article/uk-tesco-emissions/tesco-fast-tracks-emissions-target-with-solar-push-idUKKBN27T001")
Reutuers,								Trump bans U.S. investments in firms linked to Chinese military,=HYPERLINK("https://www.reuters.com/article/uk-usa-china-securities-exclusive/trump-bans-u-s-investments-in-firms-linked-to-chinese-military-idUKKBN27S2X1")
Reutuers,								Philippine police say typhoon death toll at 26 as cleanup begins,=HYPERLINK("https://www.reuters.com/article/uk-asia-storm-philippines/philippine-police-say-typhoon-death-toll-at-26-as-cleanup-begins-idUKKBN27T07F")
Reutuers,								Has Disney put the worst of the pandemic behind it?,=HYPERLINK("https://www.reuters.com/article/uk-walt-disney-results/has-disney-put-the-worst-of-the-pandemic-behind-it-idUKKBN27S35E")
Reutuers,								Ethiopia claims big advance in Tigray| Amnesty reports mass killing,=HYPERLINK("https://www.reuters.com/article/uk-ethiopia-conflict/ethiopia-claims-big-advance-in-tigray-amnesty-reports-mass-killing-idUKKBN27S0KC")
Reutuers,								Australia forecasts prolonged wildfire seasons| more droughts from climate change,=HYPERLINK("https://www.reuters.com/article/uk-climate-change-australia/australia-forecasts-prolonged-wildfire-seasons-more-droughts-from-climate-change-idUKKBN27T015")
Reutuers,Oil falls on COVID-19 surge but on track for weekly gain,=HYPERLINK("https://www.reuters.com/article/uk-global-oil/oil-falls-on-covid-19-surge-but-on-track-for-weekly-gain-idUKKBN27T05R")
Reutuers,Former China finance minister says trade frictions with U.S. could remain under Biden,=HYPERLINK("https://www.reuters.com/article/uk-usa-trade-china-caixin/former-china-finance-minister-says-trade-frictions-with-u-s-could-remain-under-biden-idUKKBN27T0B1")
Reutuers,Daimler to revamp China plant to make Actros trucks as sales surge,=HYPERLINK("https://www.reuters.com/article/uk-daimler-china/daimler-to-revamp-china-plant-to-make-actros-trucks-as-sales-surge-idUKKBN27T0E8")
Reutuers,Oil falls on COVID-19 surge but on track for weekly gain,=HYPERLINK("https://www.reuters.com/article/us-global-oil/oil-falls-on-covid-19-surge-but-on-track-for-weekly-gain-idUKKBN27T05W")
Reutuers,Japan's GDP seen shrinking less than previously expected this fiscal year: Reuters poll,=HYPERLINK("https://www.reuters.com/article/us-japan-economy-poll/japans-gdp-seen-shrinking-less-than-previously-expected-this-fiscal-year-reuters-poll-idUKKBN27T0F9")
Reutuers,Former China finance minister says trade frictions with U.S. could remain under Biden,=HYPERLINK("https://www.reuters.com/article/us-usa-trade-china-caixin/former-china-finance-minister-says-trade-frictions-with-u-s-could-remain-under-biden-idUKKBN27T0AC")
Reutuers,UK man charged after car crashes into police station,=HYPERLINK("https://www.reuters.com/article/uk-britain-security/uk-man-charged-after-car-crashes-into-police-station-idUKKBN27S34K")
Reutuers,UK daily COVID-19 death toll falls slightly to 563,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-britain-toll/uk-daily-covid-19-death-toll-falls-slightly-to-563-idUKKBN27S314")
Reutuers,Northern Ireland parties reach deal to extend COVID-19 restrictions,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-nireland/northern-ireland-parties-reach-deal-to-extend-covid-19-restrictions-idUKKBN27S2XR")
Reutuers,Paris Jackson wears heart on her sleeve in debut solo album,=HYPERLINK("https://www.reuters.com/article/uk-music-paris-jackson/paris-jackson-wears-heart-on-her-sleeve-in-debut-solo-album-idUKKBN27T0H2")
Reutuers,Signed| sealed| delivered: Japan to all but scrap centuries-old custom of stamping paperwork,=HYPERLINK("https://www.reuters.com/article/uk-japan-digital-seals/signed-sealed-delivered-japan-to-all-but-scrap-centuries-old-custom-of-stamping-paperwork-idUKKBN27T0GN")
Reutuers,Factbox: U.S. election: key tallies| undetermined states| certification deadlines,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-tallies-factbox/factbox-u-s-election-key-tallies-undetermined-states-certification-deadlines-idUKKBN27S1QS")
Reutuers,Zuckerberg defends not suspending ex-Trump aide Bannon from Facebook: recording,=HYPERLINK("https://www.reuters.com/article/us-usa-election-facebook/zuckerberg-defends-not-suspending-ex-trump-aide-bannon-from-facebook-recording-idUKKBN27S35P")
Reutuers,U.S. government appeals order blocking TikTok ban from taking effect,=HYPERLINK("https://www.reuters.com/article/us-usa-tiktok/u-s-government-appeals-order-blocking-tiktok-ban-from-taking-effect-idUKKBN27S370")
Reutuers,Factbox: List of 31 Chinese companies designated by the U.S. as military-backed,=HYPERLINK("https://www.reuters.com/article/us-usa-china-securities-companies-factbo/factbox-list-of-31-chinese-companies-designated-by-the-u-s-as-military-backed-idUKKBN27T081")
Reutuers,Joyous Scots sink Serbia to reach Euro 2020,=HYPERLINK("https://www.reuters.com/article/uk-soccer-euro-srb-sco-report/joyous-scots-sink-serbia-to-reach-euro-2020-idUKKBN27S3B8")
Reutuers,England ease to first win over Ireland since 1985,=HYPERLINK("https://www.reuters.com/article/uk-soccer-friendly-eng-irl-report/england-ease-to-first-win-over-ireland-since-1985-idUKKBN27S38P")
Reutuers,Argentina draw 1-1 with Paraguay in World Cup qualifier,=HYPERLINK("https://www.reuters.com/article/uk-soccer-worldcup-arg-pry-report/argentina-draw-1-1-with-paraguay-in-world-cup-qualifier-idUKKBN27T09B")
